HI_wl,prob,index,value,lon,lat
0.85,0.9,HWD,55.2857142857143,120.75,53.25
0.85,0.95,HWD,30.9649122807018,120.75,53.25
0.85,0.99,HWD,8.99527831446522,120.75,53.25
0.85,0.999,HWD,3.48816592741352,120.75,53.25
0.85,0.9999,HWD,3.0556147722699,120.75,53.25
1.5,0.9,HWD,71.7719298245614,120.75,53.25
1.5,0.95,HWD,43.0325814536341,120.75,53.25
1.5,0.99,HWD,14.6269445543684,120.75,53.25
1.5,0.999,HWD,5.45842056120694,120.75,53.25
1.5,0.9999,HWD,4.77973877348368,120.75,53.25
2,0.9,HWD,85.3233082706767,120.75,53.25
2,0.95,HWD,52.9398496240601,120.75,53.25
2,0.99,HWD,19.2612781954887,120.75,53.25
2,0.999,HWD,7.14768233843719,120.75,53.25
2,0.9999,HWD,6.15092583285308,120.75,53.25
3.5,0.9,HWD,128.864661654135,120.75,53.25
3.5,0.95,HWD,89.468671679198,120.75,53.25
3.5,0.99,HWD,40.077694235589,120.75,53.25
3.5,0.999,HWD,17.1258145363409,120.75,53.25
3.5,0.9999,HWD,14.3327331486611,120.75,53.25
0.85,0.9,HWI,8.33060630977444,120.75,53.25
0.85,0.95,HWI,6.48246646766917,120.75,53.25
0.85,0.99,HWI,3.75718432311678,120.75,53.25
0.85,0.999,HWI,2.30732074560713,120.75,53.25
0.85,0.9999,HWI,2.17340062252305,120.75,53.25
1.5,0.9,HWI,9.28469450250627,120.75,53.25
1.5,0.95,HWI,7.5164180037594,120.75,53.25
1.5,0.99,HWI,4.73390630624621,120.75,53.25
1.5,0.999,HWI,2.98894420296967,120.75,53.25
1.5,0.9999,HWI,2.78703761228983,120.75,53.25
2,0.9,HWI,9.6578869716792,120.75,53.25
2,0.95,HWI,7.9224760556391,120.75,53.25
2,0.99,HWI,5.17323191493985,120.75,53.25
2,0.999,HWI,3.2365980588137,120.75,53.25
2,0.9999,HWI,2.99376415532225,120.75,53.25
3.5,0.9,HWI,11.3232860213033,120.75,53.25
3.5,0.95,HWI,9.60465102656642,120.75,53.25
3.5,0.99,HWI,6.92390365764411,120.75,53.25
3.5,0.999,HWI,4.82480100025063,120.75,53.25
3.5,0.9999,HWI,4.52126410032647,120.75,53.25
0.85,0.9,HWS,136.313383133333,120.75,53.25
0.85,0.95,HWS,65.788796969173,120.75,53.25
0.85,0.99,HWS,16.0702958363281,120.75,53.25
0.85,0.999,HWS,5.7475859344164,120.75,53.25
0.85,0.9999,HWS,4.99896854010446,120.75,53.25
1.5,0.9,HWS,190.001923037594,120.75,53.25
1.5,0.95,HWS,99.32558349198,120.75,53.25
1.5,0.99,HWS,28.3598834467415,120.75,53.25
1.5,0.999,HWS,9.57649946926512,120.75,53.25
1.5,0.9999,HWS,8.19398627036334,120.75,53.25
2,0.9,HWS,234.62925162406,120.75,53.25
2,0.95,HWS,127.059030613534,120.75,53.25
2,0.99,HWS,37.8863848786003,120.75,53.25
2,0.999,HWS,12.3288834699921,120.75,53.25
2,0.9999,HWS,10.3609976057589,120.75,53.25
3.5,0.9,HWS,419.844419182957,120.75,53.25
3.5,0.95,HWS,252.472327621554,120.75,53.25
